2025-03-30 12:02:04,785 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4188511746?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.72 seconds
2025-03-30 12:02:08,894 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4184306637?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.17 seconds
2025-03-30 12:02:12,447 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4191861882?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 3.49 seconds
2025-03-30 12:02:16,308 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4192368356?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.04 seconds
2025-03-30 12:02:19,682 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4165783312?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 4.73 seconds
2025-03-30 12:02:24,803 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4168625766?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 3.56 seconds
2025-03-30 12:02:28,840 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4153234376?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.03 seconds
2025-03-30 12:02:33,224 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3959194920?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 3.97 seconds
2025-03-30 12:02:37,585 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4144988923?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 3.55 seconds
2025-03-30 12:02:41,516 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4124164977?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 3.24 seconds
2025-03-30 12:02:45,172 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4191443648?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.76 seconds
2025-03-30 12:02:50,370 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4151397196?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.58 seconds
2025-03-30 12:02:54,364 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4177582012?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.99 seconds
2025-03-30 12:02:58,733 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4176806800?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.74 seconds
2025-03-30 12:03:02,878 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4170140763?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 4.53 seconds
2025-03-30 12:03:07,742 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4178750177?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.93 seconds
2025-03-30 12:03:13,067 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4178559293?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.46 seconds
2025-03-30 12:03:16,900 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4177112239?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 4.22 seconds
2025-03-30 12:03:21,437 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4144473324?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 4.34 seconds
2025-03-30 12:03:26,124 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4194474739?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 3.09 seconds
2025-03-30 12:03:29,557 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4175714613?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.96 seconds
2025-03-30 12:03:34,875 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4192472491?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 4.08 seconds
2025-03-30 12:03:39,303 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4187087618?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.54 seconds
2025-03-30 12:03:43,212 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4166586517?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 3.34 seconds
2025-03-30 12:03:46,871 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4150639806?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 3.84 seconds
2025-03-30 12:03:51,019 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4192723124?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 3.76 seconds
2025-03-30 12:03:55,154 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4193845782?_l=pt_BR with User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 (Attempt 1) - Waiting 4.65 seconds
2025-03-30 12:04:00,224 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4181337868?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.16 seconds
2025-03-30 12:04:03,764 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4125874501?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 3.82 seconds
2025-03-30 12:04:07,922 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4180220639?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 4.54 seconds
2025-03-30 12:04:12,803 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4190573851?_l=pt_BR with User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 (Attempt 1) - Waiting 3.38 seconds
2025-03-30 12:04:16,496 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4188378920?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 4.34 seconds
2025-03-30 12:04:21,244 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4185986202?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 (Attempt 1) - Waiting 4.47 seconds
2025-03-30 12:04:26,051 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4190577558?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 4.05 seconds
2025-03-30 12:04:30,425 - src.scraping.linkedin_scraper - INFO - Requesting https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4188677351?_l=pt_BR with User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 (Attempt 1) - Waiting 4.75 seconds
